Date,RFID,PIntake_kg,FoodType
8/2/12,840001027005554,0,0
8/2/12,840001308863332,0.129,1
8/2/12,840001308863332,0,2
8/2/12,840001401962878,0.258,1
8/2/12,840001401962878,0,2
8/2/12,840001407331403,0.344,1
8/2/12,840001407331403,0,2
8/2/12,840001464616622,0,0
8/2/12,840001611159197,0.129,1
8/2/12,840001611159197,0,2
8/2/12,840001721840006,0.129,1
8/2/12,840001721840006,0,2
8/2/12,840001747293994,0,0
8/2/12,840002000896329,0.43,1
8/2/12,840002000896329,0,2
8/2/12,840002300951147,0,0
8/2/12,840002349811736,0,0
8/2/12,840002373589190,0.086,1
8/2/12,840002373589190,0,2
8/2/12,840002556499954,0,0
8/2/12,840002560398000,0,0
8/2/12,840002781276305,0.043,1
8/2/12,840002811830722,0.086,1
8/2/12,840002811830722,0,2
8/2/12,840002835778433,0,0
8/2/12,840002924774870,0,0
8/2/12,840003003440394,0.043,1
8/2/12,840003043318574,0,0
8/2/12,840003054948650,0,0
8/2/12,840003212178366,0,0
8/2/12,840003364900791,0,0
8/2/12,840003460433693,0.258,1
8/2/12,840003460433693,0,2
8/2/12,840003552658741,0.129,1
8/2/12,840003552658741,0,2
8/2/12,840003654363466,0.215,1
8/2/12,840003654363466,0,2
8/2/12,840003659705906,0.215,1
8/2/12,840003659705906,0,2
8/2/12,840003844601332,0.129,1
8/2/12,840003844601332,0,2
8/2/12,840003878819384,0,0
8/2/12,840003947943815,0.129,1
8/2/12,840003947943815,0,2
8/2/12,840004013285441,0,0
8/2/12,840004043134279,0.344,1
8/2/12,840004043134279,0,2
8/2/12,840004043345065,0,0
8/2/12,840004142658655,0,0
8/2/12,840004174127941,0,0
8/2/12,840004202487771,0,0
8/2/12,840004240468756,0.215,1
8/2/12,840004240468756,0,2
8/2/12,840004258131225,0.43,1
8/2/12,840004258131225,0,2
8/2/12,840004431341876,0.258,1
8/2/12,840004431341876,0,2
8/2/12,840004489188698,0.086,1
8/2/12,840004489188698,0,2
8/2/12,840004773878295,0,0
8/2/12,840004844169692,0.258,1
